message_id,symbol,pair,signal_found_in_json,related_updates_found,real_outcome_like_updates,false_positive_like_updates,highest_target_found_in_audit,contains_all_targets_done,contains_stop_loss_after_target,contains_profit_booked,contains_profit_percentage_only,contains_stop_loss_only,contains_analysis_post,contains_generic_warning
5549,HBAR,USDT,True,2,0,2,0,False,False,False,False,False,False,True
5586,BNB,USDT,True,2,0,2,0,False,False,False,False,False,True,True
5590,DYDX,USDT,True,1,0,1,0,False,False,False,False,False,False,True
5599,KSM,USDT,True,2,1,1,1,False,True,True,True,False,False,True
5601,INJ,USDT,True,1,0,1,0,False,False,False,False,False,False,True
5626,XMR,USDT,True,1,1,0,0,False,False,False,True,True,False,False
5639,APT,USDT,True,2,0,1,0,False,False,False,False,False,False,True
5646,BAL,USDT,True,1,0,1,0,False,False,False,False,False,False,True
5667,EGLD,USDT,True,1,0,1,0,False,False,False,False,False,False,True
5690,NEAR,USDT,True,3,1,1,0,False,False,True,True,False,False,True
5701,GMT,USDT,True,0,0,0,0,False,False,False,False,False,False,False
5705,BCH,USDT,True,2,0,1,0,False,False,False,False,False,False,True
5750,AAVE,USDT,True,1,0,1,0,False,False,False,False,False,False,True
5754,LTC,USDT,True,1,0,1,0,False,False,False,False,False,False,True
5757,IP,USDT,True,0,0,0,0,False,False,False,False,False,False,False
5794,IOTA,USDT,True,1,0,1,0,False,False,False,False,False,False,True
5875,ROSE,USDT,True,2,1,1,1,False,False,True,True,False,False,True
5887,CHR,USDT,True,1,0,1,0,False,False,False,False,False,False,True
5897,ONDO,USDT,True,2,0,1,0,False,False,False,False,False,False,True
6017,CHR,USDT,True,1,0,1,0,False,False,False,False,False,False,True
6019,HOOK,USDT,True,1,0,1,0,False,False,False,False,False,False,True
6073,XMR,USDT,True,1,0,1,0,False,False,False,False,False,False,True
6129,SXP,USDT,True,1,0,1,0,False,False,False,False,False,False,True
6162,LAYER,USDT,True,2,1,1,0,False,False,False,False,True,False,True
6228,QNT,USDT,True,1,0,1,0,False,False,False,False,False,False,True
6243,CRV,USDT,True,2,1,1,0,False,False,False,True,True,False,True
6247,REZ,USDT,True,2,1,1,0,False,False,True,True,False,False,True
6265,SWARMS,USDT,True,2,0,1,0,False,False,False,False,False,False,True
6280,1000LUNC,USDT,True,1,0,1,0,False,False,False,False,False,False,True
6284,HMSTR,USDT,True,2,1,1,0,False,False,False,True,True,False,True
6288,IOTX,USDT,True,2,1,1,0,False,False,False,True,True,False,True
6355,XRP,USDT,True,1,0,0,0,False,False,False,False,False,False,False
6378,JASMY,USDT,True,1,0,0,0,False,False,False,False,False,False,False
6393,LPT,USDT,True,2,0,1,0,False,False,False,False,False,False,True
6411,1000LUNC,USDT,True,1,0,1,0,False,False,False,False,False,False,True
6415,PEOPLE,USDT,True,2,0,1,0,False,False,False,False,False,False,True
6428,ETC,USDT,True,2,0,1,0,False,False,False,False,False,False,True
6447,APT,USDT,True,2,0,1,0,False,False,False,False,False,False,True
6451,SEI,USDT,True,1,0,1,0,False,False,False,False,False,False,True
6455,BNB,USDT,True,8,3,2,0,False,False,True,True,False,True,True
6457,GRASS,USDT,True,2,0,1,0,False,False,False,False,False,False,True
6497,DENT,USDT,True,2,1,1,0,False,False,True,True,True,False,True
6509,BTC,USDT,True,13,0,4,0,False,False,False,False,False,True,True
6519,BTC,USDT,True,8,0,1,0,False,False,False,False,False,True,False
6539,CHESS,USDT,True,1,1,0,0,False,False,False,True,False,False,False
6562,LPT,USDT,True,2,0,1,0,False,False,False,False,False,False,True
6564,XLM,USDT,True,2,0,2,0,False,False,False,False,False,False,True
6584,OP,USDT,True,41,5,29,0,False,False,True,True,False,False,True
6590,SANTOS,USDT,True,2,0,1,0,False,False,False,False,False,False,True
6614,GMX,USDT,True,2,0,1,0,False,False,False,False,False,False,True
6625,XLM,USDT,True,2,0,2,0,False,False,False,False,False,False,True
6646,BNB,USDT,True,1,0,1,0,False,False,False,False,False,False,True
6651,RSR,USDT,True,1,0,0,0,False,False,False,False,False,False,False
6653,TWT,USDT,True,1,0,0,0,False,False,False,False,False,False,False
6660,SHELL,USDT,True,1,0,0,0,False,False,False,False,False,False,False
6666,IOTX,USDT,True,1,0,0,0,False,False,False,False,False,False,False
6675,XVG,USDT,True,0,0,0,0,False,False,False,False,False,False,False
6684,CATI,USDT,True,3,0,0,0,False,False,False,False,False,False,False
6702,XLM,USDT,True,1,0,1,0,False,False,False,False,False,False,True
6713,ADA,USDT,True,1,0,1,0,False,False,False,False,False,False,True
6726,BDXN,USDT,True,0,0,0,0,False,False,False,False,False,False,False
6728,SSV,USDT,True,1,0,1,0,False,False,False,False,False,False,True
6736,BB,USDT,True,1,0,1,0,False,False,False,False,False,False,True
6741,MEW,USDT,True,1,0,1,0,False,False,False,False,False,False,True
6743,NEIRO,USDT,True,1,0,1,0,False,False,False,False,False,False,True
6754,DOGE,USDT,True,1,0,1,0,False,False,False,False,False,False,True
6760,PEOPLE,USDT,True,3,1,2,0,False,False,False,True,True,False,True
6765,USTC,USDT,True,1,0,1,0,False,False,False,False,False,False,True
6791,PEOPLE,USDT,True,1,0,1,0,False,False,False,False,False,False,True
6793,ETC,USDT,True,1,0,1,0,False,False,False,False,False,False,True
6819,TIA,USDT,True,60,0,60,0,False,False,False,False,False,False,True
6827,ETH,USDT,True,6,0,1,0,False,False,False,False,False,False,True
6837,BNB,USDT,True,3,0,2,0,False,False,False,False,False,False,True
6848,OP,USDT,True,34,0,29,0,False,False,False,False,False,False,True
6860,AEVO,USDT,True,2,0,1,0,False,False,False,False,False,False,True
6903,DASH,USDT,True,1,0,1,0,False,False,False,False,False,False,True
6906,1000LUNC,USDT,True,2,0,1,0,False,False,False,False,False,False,True
6908,SAFE,USDT,True,2,0,1,0,False,False,False,False,False,False,True
6918,KNC,USDT,True,1,0,1,0,False,False,False,False,False,False,True
6920,BNB,USDT,True,2,0,1,0,False,False,False,False,False,False,True
6980,ZEC,USDT,True,1,0,1,0,False,False,False,False,False,False,True
6986,AXL,USDT,True,1,0,0,0,False,False,False,False,False,False,False
6994,NEO,USDT,True,1,0,1,0,False,False,False,False,False,False,True
6998,CFX,USDT,True,1,0,1,0,False,False,False,False,False,False,True
